# id	left	top	right	bottom	texture_id
[SPRITES]
#####        BIG         ###############
#IDLE
11121	506	185	521	212	110
11111	0	92	15	119	110

#WALKING RIGHT
11222	487	185	502	212	110
11223	469	185	484	212	110

#WALKING LEFT
11212	19	92	34	119	110
11213	37	92	52	119	110

#RUNNING RIGHT
11321	410	185	431	212	110
11322	386	185	407	212	110
11323	360	185	381	212	110

#RUNNING LEFT
11311	90	92	111	119	110
11312	114	92	135	119	110
11313	140	92	161	119	110

#JUMP WALK RIGHT  & LEFT
11417	433	185	448	212	110
11413	73	92	88	119	110

#JUMP RUN RIGHT & LEFT
11427	334	185	355	212	110
11423	166	92	187	119	110

#SIT RIGHT & LEFT 
11521	452	195	467	212	110
11511	54	102	69	119	110

#BRACE RIGHT & LEFT 
11621	311	185	326	212	110
11611	195	92	210	119	110

#DIE
13001	307	16	322	31	110

#HOLD_TORTOISESHELL#####
#IDLE RIGHT -> LEFT
11721	258	185	273	212	110
11711	248	92	263	119	110
#WALK & RUN LEFT
11712	266	92	281	119	110
11713	285	92	300	119	110
#WALK & RUN RIGHT
11722	240	185	255	212	110
11723	221	185	236	212	110
#SHOOT RIGHT -> LEFT
11724	194	185	215	212	110
11714	306	92	327	119	110


############        SMALL       ################
 #IDLE RIGHT -> LEFT
12121	505	54	520	69	110
12111	1	16	16	31	110

#WALK RIGHT
12222	487	54	502	69	110
12223	451	54	466	69	110

#WALK LEFT
12212	19	16	34	31	110
12213	55	16	70	31	110

#RUN RIGHT
12321	451	54	466	69	110
12322	433	54	448	69	110

#RUN LEFT
12311	55	16	70	31	110
12312	73	16	88	31	110

#BRACE RIGHT & LEFT
12511	109	16	124	31	110
12521	397	54	412	69	110

#JUMP WALK RIGHT & LEFT 
12413	37	16	52	31	110
12417	469	54	484	69	110

#JUMP RUN RIGHT & LEFT 
12423	91	16	106	31	110
12427	415	54	430	69	110

#HOLD_TORTOISESHELL#####
#IDLE RIGHT -> LEFT
12721	362	54	377	69	110
12711	144	16	159	31	110
#WALK & RUN LEFT
12712	162	16	177	31	110	
#WALK & RUN RIGHT
12722	344	54	359	69	110
#SHOOT RIGHT -> LEFT
12724	325	54	340	69	110
12714	181	16	196	31	110

#####        MAX        ###############

#IDLE
13121	500	441	521	468	110
13111	0	350	21	377	110

#WALKING RIGHT
13222	473	441	494	468	110
13223	446	441	469	468	110

#WALKING LEFT
13212	27	350	48	377	110
13213	52	350	75	377	110

#RUNNING RIGHT
13321	410	185	431	212	110
13322	386	185	407	212	110
31323	360	185	381	212	110

#RUNNING LEFT
13311	90	92	111	119	110
13312	114	92	135	119	110
13313	140	92	161	119	110

#JUMP WALK RIGHT  & LEFT
13417	433	185	448	212	110
13413	73	92	88	119	110

#JUMP RUN RIGHT & LEFT
13427	334	185	355	212	110
13423	166	92	187	119	110

#SIT RIGHT & LEFT 
13521	452	195	467	212	110
13511	54	102	69	119	110

#BRACE RIGHT & LEFT 
13621	311	185	326	212	110
13611	195	92	210	119	110

#HOLD_TORTOISESHELL#####
#IDLE RIGHT -> LEFT
13721	258	185	273	212	110
13711	248	92	263	119	110
#WALK & RUN LEFT
13712	266	92	281	119	110
13713	285	92	300	119	110
#WALK & RUN RIGHT
13722	240	185	255	212	110
13723	221	185	236	212	110
#SHOOT RIGHT -> LEFT
13724	194	185	215	212	110
13714	306	92	327	119	110

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
400	11121	100
401	11111	100

#WALKING RIGHT & LEFT 
500	11121	100	11222	100	11223	100
501	11111	100	11212	100	11213	100

#RUNNING RIGHT & LEFT
600	11321	25	11322	25	11323	25
601	11311	25	11312	25	11313	25

#JUMP WALK
700	11417	100
701	11413	100

#JUMP RUN
800	11427	100
801	11423	100

#SIT RIGHT & LEFT 
900	11521	100
901	11511	100

#BRACE RIGHT & LEFT 
1000	11621	100
1001	11611	100

#DIE
999	13001	100

##TORTOISESHELL
#IDLE LEFT
1700	11711	100
#IDLE RIGHT
1701	11721	100
#WALK LEFT
1702	11711	100	11712	100	11713	100
#WALK RIGHT
1703	11721	100	11722	100	11723	100
#RUN LEFT
1704	11711	50	11712	50	11713	50
#RUN RIGHT
1705	11721	50	11722	50	11723	50
#SHOOT LEFT
1706	11714	100
#SHOOT RIGHT
1707	11724	100
#JUMP LEFT
1708	11713	100
#JUMP RIGHT
1709	11723	100

################### SMALL #################
1100	12121	100
1102	12111	100


#WALK LEFT & RIGHT 
1200	12121	60	12222	60
1201	12111	60	12212	60

#RUN LEFT & RIGHT
1300	12321	25	12322	25
1301	12311	25	12312	25

#BRACE LEFT & RIGHT
1401	12511	100
1400	12521	100

#JUMP WALK
1500	12417	100
1501	12413	100

#JUMP RUN 
1601	12423	100
1600	12427	100

##TORTOISESHELL
#IDLE LEFT
1710	12711	100
#IDLE RIGHT
1711	12721	100
#WALK LEFT
1712	12711	100	12712	100
#WALK RIGHT
1713	12721	100	12722	100
#RUN LEFT
1714	12711	50	12712	50
#RUN RIGHT
1715	12721	50	12722	50
#SHOOT LEFT
1716	12714	100
#SHOOT RIGHT
1717	12724	100
#JUMP LEFT
1718	12712	100
#JUMP RIGHT
1719	12722	100
